,0,1,2,3
0,41043,0.22926028610145632,3534,0.0
1,41044,0.38974512079945955,3535,0.06686839557821013
2,41045,0.16369387181600448,3536,0.9003369267961496
3,41046,0.1724497712261858,3537,0.009899998330523224
4,41047,-0.053562330918012574,3538,0.11262646300337238
5,41048,-0.005791537191867615,3539,0.653487853799866
6,41049,0.02596390398913469,3540,0.3210678599669327
7,41050,0.04885683655648228,3541,-0.1368220990270998
8,41051,-0.017031797572714336,2038,0.15093992372842882
9,41052,0.018918877387828898,2039,0.5489884677843817
10,41053,0.14146866269450387,3544,0.16628867909680647
11,41054,0.09361167544774791,3545,0.04468391987527165
12,41055,0.2178250131476571,4315,-0.2611487054472092
13,41056,-0.09692022559590885,3546,0.5038825286212046
14,41057,-0.06241657951298559,3547,2.0260529727102474
