,predicted_price,production_data
0,109.96503076697503,[2.0]
1,216.85667403911265,[20.0]
2,139.65715389812436,[7.0]
3,199.04140016042305,[17.0]
4,133.71872927189452,[6.0]
5,98.0881815145153,[0.0]
6,187.1645509079633,[15.0]
7,121.84188001943477,[4.0]
8,193.1029755341932,[16.0]
9,115.90345539320491,[3.0]
10,210.9182494128828,[19.0]
11,204.97982478665293,[18.0]
12,104.02660614074517,[1.0]
13,169.3492770292737,[12.0]
14,157.472427776814,[10.0]
15,175.28770165550358,[13.0]
16,163.41085240304386,[11.0]
17,145.59557852435424,[8.0]
18,127.78030464566464,[5.0]
19,181.22612628173346,[14.0]
20,151.5340031505841,[9.0]
